ECU0: LK, ECU0: CC, ECU0: SENSING
1930, ECU0: LK, 1
1950, ECU0: CC, 1
1960, ECU0: CC, 0
1970, ECU0: LK, 0
1980, ECU0: CC, 1
1850, ECU0: SENSING, 1
1860, ECU0: SENSING, 0
1910, ECU0: SENSING, 1
1920, ECU0: SENSING, 0
1990, ECU0: CC, 0
1990, ECU0: LK, 1
2010, ECU0: CC, 1
2020, ECU0: CC, 0
2030, ECU0: LK, 0
2030, ECU0: SENSING, 1
2040, ECU0: CC, 1
2040, ECU0: SENSING, 0
2050, ECU0: CC, 0
2050, ECU0: LK, 1
2070, ECU0: CC, 1
2080, ECU0: CC, 0
2090, ECU0: LK, 0
2100, ECU0: CC, 1
2110, ECU0: CC, 0
2110, ECU0: LK, 1
2130, ECU0: CC, 1
2140, ECU0: CC, 0
2150, ECU0: LK, 0
2160, ECU0: CC, 1
2170, ECU0: CC, 0
2170, ECU0: LK, 1
2190, ECU0: CC, 1
2200, ECU0: CC, 0
2210, ECU0: LK, 0
2220, ECU0: CC, 1
2230, ECU0: CC, 0
2230, ECU0: LK, 1
2250, ECU0: CC, 1
2260, ECU0: CC, 0
2270, ECU0: LK, 0
2280, ECU0: CC, 1
2150, ECU0: SENSING, 1
2160, ECU0: SENSING, 0
2210, ECU0: SENSING, 1
2220, ECU0: SENSING, 0
2290, ECU0: CC, 0
2290, ECU0: LK, 1
2310, ECU0: CC, 1
2320, ECU0: CC, 0
2330, ECU0: LK, 0
2330, ECU0: SENSING, 1
2340, ECU0: CC, 1
2340, ECU0: SENSING, 0
2350, ECU0: CC, 0
2350, ECU0: LK, 1
2370, ECU0: CC, 1
2380, ECU0: CC, 0
2390, ECU0: LK, 0
2400, ECU0: CC, 1
2410, ECU0: CC, 0
2410, ECU0: LK, 1
2430, ECU0: CC, 1
2440, ECU0: CC, 0
2450, ECU0: LK, 0
2460, ECU0: CC, 1
2470, ECU0: CC, 0
2470, ECU0: LK, 1
2490, ECU0: CC, 1
2500, ECU0: CC, 0
2510, ECU0: LK, 0
2520, ECU0: CC, 1
2530, ECU0: CC, 0
2530, ECU0: LK, 1
2550, ECU0: CC, 1
2560, ECU0: CC, 0
2570, ECU0: LK, 0
2580, ECU0: CC, 1
2450, ECU0: SENSING, 1
2460, ECU0: SENSING, 0
2510, ECU0: SENSING, 1
2520, ECU0: SENSING, 0
2590, ECU0: CC, 0
2590, ECU0: LK, 1
2610, ECU0: CC, 1
2620, ECU0: CC, 0
2630, ECU0: LK, 0
2630, ECU0: SENSING, 1
2640, ECU0: CC, 1
2640, ECU0: SENSING, 0
2650, ECU0: CC, 0
2650, ECU0: LK, 1
2670, ECU0: CC, 1
2680, ECU0: CC, 0
2690, ECU0: LK, 0
2700, ECU0: CC, 1
2710, ECU0: CC, 0
2710, ECU0: LK, 1
2730, ECU0: CC, 1
2740, ECU0: CC, 0
2750, ECU0: LK, 0
2760, ECU0: CC, 1
2770, ECU0: CC, 0
2770, ECU0: LK, 1
2790, ECU0: CC, 1
2800, ECU0: CC, 0
2810, ECU0: LK, 0
2820, ECU0: CC, 1
2830, ECU0: CC, 0
2830, ECU0: LK, 1
2850, ECU0: CC, 1
2860, ECU0: CC, 0
2870, ECU0: LK, 0
2880, ECU0: CC, 1
2750, ECU0: SENSING, 1
2760, ECU0: SENSING, 0
2810, ECU0: SENSING, 1
2820, ECU0: SENSING, 0
2890, ECU0: CC, 0
2890, ECU0: LK, 1
2910, ECU0: CC, 1
2920, ECU0: CC, 0
2930, ECU0: LK, 0
2930, ECU0: SENSING, 1
2940, ECU0: CC, 1
2940, ECU0: SENSING, 0
2950, ECU0: CC, 0
2950, ECU0: LK, 1
2970, ECU0: CC, 1
2980, ECU0: CC, 0
2990, ECU0: LK, 0
3000, ECU0: CC, 1
3010, ECU0: CC, 0
3010, ECU0: LK, 1
3030, ECU0: CC, 1
3040, ECU0: CC, 0
3050, ECU0: LK, 0
3060, ECU0: CC, 1
3070, ECU0: CC, 0
3070, ECU0: LK, 1
3090, ECU0: CC, 1
3100, ECU0: CC, 0
3110, ECU0: LK, 0
3120, ECU0: CC, 1
3130, ECU0: CC, 0
3130, ECU0: LK, 1
3150, ECU0: CC, 1
3160, ECU0: CC, 0
3170, ECU0: LK, 0
3180, ECU0: CC, 1
3050, ECU0: SENSING, 1
3060, ECU0: SENSING, 0
3110, ECU0: SENSING, 1
3120, ECU0: SENSING, 0
3190, ECU0: CC, 0
3190, ECU0: LK, 1
3210, ECU0: CC, 1
3220, ECU0: CC, 0
3230, ECU0: LK, 0
3230, ECU0: SENSING, 1
3240, ECU0: CC, 1
3240, ECU0: SENSING, 0
3250, ECU0: CC, 0
3250, ECU0: LK, 1
3270, ECU0: CC, 1
3280, ECU0: CC, 0
